case_type,label,sample_index,feature,weight
true_positive,toxic,10,die,0.025772826734414604
true_positive,toxic,10,Stupid,0.025537266528666894
true_positive,toxic,10,asshole,0.025416015310024485
true_positive,toxic,10,hell,0.02445158605548419
true_positive,toxic,10,shit,0.023969956607317277
true_positive,toxic,10,hole,0.019750363839043723
true_positive,toxic,10,a,-0.008114111504031638
true_positive,toxic,10,peace,-0.007016107292180676
true_positive,toxic,10,stuff,0.005882282655134185
true_positive,toxic,10,stop,-0.0035949131789729948
true_positive,severe_toxic,10,asshole,0.2372016307322391
true_positive,severe_toxic,10,shit,0.21728643060230254
true_positive,severe_toxic,10,Stupid,0.18068000199747009
true_positive,severe_toxic,10,die,0.1557352659264674
true_positive,severe_toxic,10,hell,0.08356011649896254
true_positive,severe_toxic,10,deleting,0.057610384318161935
true_positive,severe_toxic,10,hole,0.030980467545336864
true_positive,severe_toxic,10,in,0.02536233090702645
true_positive,severe_toxic,10,peace,-0.02394559805682061
true_positive,severe_toxic,10,stop,-0.023719987089147392
true_positive,obscene,10,shit,0.12228616202019074
true_positive,obscene,10,asshole,0.11226149166901202
true_positive,obscene,10,Stupid,0.07718581665659276
true_positive,obscene,10,hole,0.036545128946257284
true_positive,obscene,10,peace,-0.029688967971549816
true_positive,obscene,10,go,0.025084450662214056
true_positive,obscene,10,my,0.02022730431468723
true_positive,obscene,10,die,0.014918254723601638
true_positive,obscene,10,hell,0.01490441841242547
true_positive,obscene,10,to,0.014239469617324132
true_positive,threat,238,die,0.7748026939282604
true_positive,threat,238,u,0.08146689381313524
true_positive,threat,238,hope,0.06897472432486677
true_positive,threat,238,deletin,0.06565324142068012
true_positive,threat,238,bitch,0.046175629372072535
true_positive,threat,238,muthafucker,0.041493655047419385
true_positive,threat,238,my,0.037693061837719
true_positive,threat,238,bastard,-0.0336607956219446
true_positive,threat,238,Demonte,0.033233762951115145
true_positive,threat,238,U,0.03251739003474402
true_positive,insult,10,asshole,0.15697680583633528
true_positive,insult,10,Stupid,0.14082847976079724
true_positive,insult,10,shit,0.09305520897361233
true_positive,insult,10,hell,0.039290366801077926
true_positive,insult,10,of,0.03779247446174827
true_positive,insult,10,hole,0.03655729184916028
true_positive,insult,10,die,0.025669230766187285
true_positive,insult,10,my,-0.025115474791318874
true_positive,insult,10,and,0.022993472703505748
true_positive,insult,10,in,0.022693536812025423
true_positive,identity_hate,32,niggers,0.9749469120931296
true_positive,identity_hate,32,Kill,0.006190309879700102
true_positive,identity_hate,32,racists,0.0059540158361232115
true_positive,identity_hate,32,all,0.002276216352039677
true_positive,identity_hate,32,be,0.001238823445726869
true_positive,identity_hate,32,that,0.0011011982762235179
true_positive,identity_hate,32,said,-0.0005860364593949836
true_positive,identity_hate,32,sometimes,-0.0005732243011410251
true_positive,identity_hate,32,That,-0.0004806463850413983
true_positive,identity_hate,32,say,4.296923971326573e-05
