token,shap_value,abs_shap_value,effect,target_label,sample_index
hell,0.23882732280334393,0.23882732280334393,Increases prediction,toxic,10
hole ,0.20766729947253124,0.20766729947253124,Increases prediction,toxic,10
Stupid ,0.1248576510711751,0.1248576510711751,Increases prediction,toxic,10
asshole ,0.12383425482585153,0.12383425482585153,Increases prediction,toxic,10
die ,0.12349318487758865,0.12349318487758865,Increases prediction,toxic,10
shit ,0.12348457744952207,0.12348457744952207,Increases prediction,toxic,10
a ,0.018867375255366723,0.018867375255366723,Increases prediction,toxic,10
in ,0.010718743766928027,0.010718743766928027,Increases prediction,toxic,10
fall ,0.0107129956439975,0.0107129956439975,Increases prediction,toxic,10
go ,0.005425973277750826,0.005425973277750826,Increases prediction,toxic,10
to ,0.00533581752723775,0.00533581752723775,Increases prediction,toxic,10
go ,0.0016604167703917483,0.0016604167703917483,Increases prediction,toxic,10
!,0.0009459069559751595,0.0009459069559751595,Increases prediction,toxic,10
stop ,0.0008706762935212787,0.0008706762935212787,Increases prediction,toxic,10
and ,-0.0002204406037991349,0.0002204406037991349,Decreases prediction,toxic,10
eti,0.00011340404558318873,0.00011340404558318873,Increases prediction,toxic,10
del,8.184338617461939e-05,8.184338617461939e-05,Increases prediction,toxic,10
ng ,4.339466500419398e-05,4.339466500419398e-05,Increases prediction,toxic,10
my ,3.661241862573661e-05,3.661241862573661e-05,Increases prediction,toxic,10
stuff ,3.416117760934867e-05,3.416117760934867e-05,Increases prediction,toxic,10
peace ,3.323917695120649e-05,3.323917695120649e-05,Increases prediction,toxic,10
of ,3.323917695120649e-05,3.323917695120649e-05,Increases prediction,toxic,10
,6.117080879953897e-06,6.117080879953897e-06,Increases prediction,toxic,10
,-1.6880221664905548e-09,1.6880221664905548e-09,Decreases prediction,toxic,10
ni,0.503050373887163,0.503050373887163,Increases prediction,identity_hate,32
gger,0.48638260107190945,0.48638260107190945,Increases prediction,identity_hate,32
Kill ,0.009344363786567556,0.009344363786567556,Increases prediction,identity_hate,32
all ,0.0004255011876921344,0.0004255011876921344,Increases prediction,identity_hate,32
". 

",0.0003177705748385051,0.0003177705748385051,Increases prediction,identity_hate,32
s,-0.00023292859759749263,0.00023292859759749263,Decreases prediction,identity_hate,32
racist,7.150941564759705e-05,7.150941564759705e-05,Increases prediction,identity_hate,32
say ,-4.3659175692785844e-05,4.3659175692785844e-05,Decreases prediction,identity_hate,32
sometimes ,-4.149105673908101e-05,4.149105673908101e-05,Decreases prediction,identity_hate,32
? ,-3.666128092542446e-05,3.666128092542446e-05,Decreases prediction,identity_hate,32
included,-3.4554629261644244e-05,3.4554629261644244e-05,Decreases prediction,identity_hate,32
be ,-3.4554629261644244e-05,3.4554629261644244e-05,Decreases prediction,identity_hate,32
That ,3.33531297656009e-05,3.33531297656009e-05,Increases prediction,identity_hate,32
this,-2.190556776137479e-05,2.190556776137479e-05,Decreases prediction,identity_hate,32
have ,-1.963826295347341e-05,1.963826295347341e-05,Decreases prediction,identity_hate,32
said ,-1.963826295347341e-05,1.963826295347341e-05,Decreases prediction,identity_hate,32
s ,1.9493187210173346e-05,1.9493187210173346e-05,Increases prediction,identity_hate,32
. ,1.8074409429876443e-05,1.8074409429876443e-05,Increases prediction,identity_hate,32
.,1.5987689039320685e-05,1.5987689039320685e-05,Increases prediction,identity_hate,32
should ,1.5786149864046212e-05,1.5786149864046212e-05,Increases prediction,identity_hate,32
these,-1.4147425948370559e-05,1.4147425948370559e-05,Decreases prediction,identity_hate,32
that ,-1.3129094259056729e-05,1.3129094259056729e-05,Decreases prediction,identity_hate,32
others ,-1.3129094259056729e-05,1.3129094259056729e-05,Decreases prediction,identity_hate,32
", ",1.0283237679686863e-05,1.0283237679686863e-05,Increases prediction,identity_hate,32
this ,7.577472691385385e-06,7.577472691385385e-06,Increases prediction,identity_hate,32
.,-5.124562994751613e-06,5.124562994751613e-06,Decreases prediction,identity_hate,32
,4.228810212225653e-06,4.228810212225653e-06,Increases prediction,identity_hate,32
hard,-1.734548823151272e-06,1.734548823151272e-06,Decreases prediction,identity_hate,32
have ,-1.734548823151272e-06,1.734548823151272e-06,Decreases prediction,identity_hate,32
I ,-1.734548823151272e-06,1.734548823151272e-06,Decreases prediction,identity_hate,32
,-3.725290298461914e-09,3.725290298461914e-09,Decreases prediction,identity_hate,32
die,0.6642447242888352,0.6642447242888352,Increases prediction,threat,238
u ,0.23147985340591504,0.23147985340591504,Increases prediction,threat,238
hope ,0.02090847827145126,0.02090847827145126,Increases prediction,threat,238
I ,0.02090847827145126,0.02090847827145126,Increases prediction,threat,238
racist ,0.019713922467587963,0.019713922467587963,Increases prediction,threat,238
u ,0.008287634010173406,0.008287634010173406,Increases prediction,threat,238
bitch,0.006985329621898018,0.006985329621898018,Increases prediction,threat,238
Fuck ,0.005641479720566167,0.005641479720566167,Increases prediction,threat,238
u ,0.005266627565674753,0.005266627565674753,Increases prediction,threat,238
. ,-0.003713604186032171,0.003713604186032171,Decreases prediction,threat,238
eti,0.002193470531557927,0.002193470531557927,Increases prediction,threat,238
del,0.002193470531557927,0.002193470531557927,Increases prediction,threat,238
n,0.002193470531557927,0.002193470531557927,Increases prediction,threat,238
,0.0020626785186604614,0.0020626785186604614,Increases prediction,threat,238
Demon,0.0020626785186604614,0.0020626785186604614,Increases prediction,threat,238
te ,0.0020626785186604614,0.0020626785186604614,Increases prediction,threat,238
' ,0.001985940400692875,0.001985940400692875,Increases prediction,threat,238
fu,0.0019355819771444008,0.0019355819771444008,Increases prediction,threat,238
cker,0.001915724391787015,0.001915724391787015,Increases prediction,threat,238
tha,0.0018079047860136857,0.0018079047860136857,Increases prediction,threat,238
mu,0.0018079047860136857,0.0018079047860136857,Increases prediction,threat,238
.,-0.0011983021693140472,0.0011983021693140472,Decreases prediction,threat,238
. ,0.00031158252847620006,0.00031158252847620006,Increases prediction,threat,238
stop ,-0.0003007839996809837,0.0003007839996809837,Decreases prediction,threat,238
U ,-0.00024898068503327,0.00024898068503327,Decreases prediction,threat,238
"Morton 

",-0.00024898068503327,0.00024898068503327,Decreases prediction,threat,238
bastard ,-0.0002039356720372,0.0002039356720372,Decreases prediction,threat,238
my ,-0.0001693645013283963,0.0001693645013283963,Decreases prediction,threat,238
white ,-9.722984649000762e-05,9.722984649000762e-05,Decreases prediction,threat,238
u ,-9.722984649000762e-05,9.722984649000762e-05,Decreases prediction,threat,238
trash ,-9.452533834190843e-05,9.452533834190843e-05,Decreases prediction,threat,238
crack,6.990623155291229e-05,6.990623155291229e-05,Increases prediction,threat,238
er ,6.990623155291229e-05,6.990623155291229e-05,Increases prediction,threat,238
shit ,-3.48222049915926e-05,3.48222049915926e-05,Decreases prediction,threat,238
,1.1368683772161603e-11,1.1368683772161603e-11,Increases prediction,threat,238
