model,trial,val_micro_f1_tuned,val_macro_f1_tuned,val_weighted_f1_tuned,thresholds,max_features,ngram_range,min_df,max_df,C,class_weight
Logistic Regression,17,0.5982555156490508,0.48873293986402205,0.7094917811159204,"{""toxic"": 0.21947548527285965, ""severe_toxic"": 0.014013184467926041, ""obscene"": 0.2220450564139374, ""threat"": 0.004624132237173895, ""insult"": 0.21784006545026174, ""identity_hate"": 0.017391145668976028}",100000,"(1, 1)",2,0.95,2.0,
Logistic Regression,23,0.5972293483837866,0.48868416508029416,0.7076748405248899,"{""toxic"": 0.2128154935244354, ""severe_toxic"": 0.013049863420871739, ""obscene"": 0.2155441520607852, ""threat"": 0.004532291963582965, ""insult"": 0.2131561175571565, ""identity_hate"": 0.01717810143647668}",100000,"(1, 2)",2,0.95,2.0,
Logistic Regression,24,0.5970827530601773,0.4886402325143931,0.707645874011845,"{""toxic"": 0.6034460370704113, ""severe_toxic"": 0.11028747280898366, ""obscene"": 0.7516006304486801, ""threat"": 0.04063835309945498, ""insult"": 0.7552570043794653, ""identity_hate"": 0.15428298177950328}",100000,"(1, 2)",2,0.95,2.0,balanced
Logistic Regression,5,0.5975225390310049,0.48827499811055125,0.7085079160438188,"{""toxic"": 0.2216704443528386, ""severe_toxic"": 0.014077645301127263, ""obscene"": 0.22449420280583823, ""threat"": 0.004627314618974169, ""insult"": 0.21862584435091778, ""identity_hate"": 0.017551326838793076}",50000,"(1, 1)",2,0.95,2.0,
Logistic Regression,11,0.5964963717657407,0.48743913226306956,0.7071827867836809,"{""toxic"": 0.21506957803165055, ""severe_toxic"": 0.013305949083997737, ""obscene"": 0.21320544052462065, ""threat"": 0.004559374698414454, ""insult"": 0.22083939168645653, ""identity_hate"": 0.017434095534503306}",50000,"(1, 2)",2,0.95,2.0,
Logistic Regression,22,0.594297441911603,0.48716178971382157,0.7038023127656157,"{""toxic"": 0.6069031245053911, ""severe_toxic"": 0.15242386679166167, ""obscene"": 0.7337841137161126, ""threat"": 0.06549649366557983, ""insult"": 0.7551919529327075, ""identity_hate"": 0.21414114112990568}",100000,"(1, 2)",2,0.95,1.0,balanced
Logistic Regression,18,0.5964963717657407,0.48651857479893773,0.7077596836310068,"{""toxic"": 0.6426130932009892, ""severe_toxic"": 0.13086387329512023, ""obscene"": 0.7785980936890294, ""threat"": 0.044853351757405985, ""insult"": 0.7886662666254503, ""identity_hate"": 0.17422565092901351}",100000,"(1, 1)",2,0.95,2.0,balanced
Logistic Regression,6,0.5962031811185223,0.48645005418181214,0.7073843249036563,"{""toxic"": 0.647180053190251, ""severe_toxic"": 0.13224306767989644, ""obscene"": 0.7788169060063433, ""threat"": 0.04531193852873404, ""insult"": 0.7928554628581208, ""identity_hate"": 0.17854528302587708}",50000,"(1, 1)",2,0.95,2.0,balanced
Logistic Regression,21,0.5947372278824306,0.48632133250266624,0.7044396322369956,"{""toxic"": 0.20000991078762015, ""severe_toxic"": 0.01312545716732386, ""obscene"": 0.18149688772395756, ""threat"": 0.004682316460297385, ""insult"": 0.1935284637427231, ""identity_hate"": 0.016813060882824103}",100000,"(1, 2)",2,0.95,1.0,
Logistic Regression,16,0.5950304185296489,0.4863142410846108,0.7055002187019471,"{""toxic"": 0.6354905709609083, ""severe_toxic"": 0.17603748537698646, ""obscene"": 0.7652909943475159, ""threat"": 0.071350012753012, ""insult"": 0.7840037810041554, ""identity_hate"": 0.23570697136693147}",100000,"(1, 1)",2,0.95,1.0,balanced
