trial,best_epoch,best_val_micro_f1_tuned,best_val_macro_f1_tuned,best_val_weighted_f1_tuned,thresholds,learning_rate,epochs,batch_size,weight_decay,dropout,max_length,pos_weight_mode
10,3,0.7960374039440793,0.7069327756778344,0.798588052257739,"{""toxic"": 0.8750000000000003, ""severe_toxic"": 0.8500000000000003, ""obscene"": 0.8250000000000003, ""threat"": 0.6500000000000002, ""insult"": 0.8250000000000003, ""identity_hate"": 0.5750000000000002}",2e-05,3,8,0.01,0.2,256,sqrt
5,3,0.7877786952931461,0.7055349793576412,0.7925623239530919,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.8500000000000003, ""threat"": 0.9500000000000004, ""insult"": 0.9250000000000004, ""identity_hate"": 0.8500000000000003}",2.5e-05,3,16,0.01,0.1,128,raw
8,3,0.7965944845456228,0.7055122425071252,0.7977022120037446,"{""toxic"": 0.7250000000000003, ""severe_toxic"": 0.8250000000000003, ""obscene"": 0.8750000000000003, ""threat"": 0.7750000000000002, ""insult"": 0.8500000000000003, ""identity_hate"": 0.7750000000000002}",1e-05,3,8,0.01,0.2,256,sqrt
7,3,0.7944955800601476,0.7050845716812657,0.7964715247874034,"{""toxic"": 0.7750000000000002, ""severe_toxic"": 0.9000000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.7000000000000003, ""insult"": 0.9500000000000004, ""identity_hate"": 0.9000000000000004}",1e-05,3,8,0.01,0.2,256,raw
12,3,0.7931320963721961,0.7037207981023695,0.7970437596813172,"{""toxic"": 0.7250000000000003, ""severe_toxic"": 0.7500000000000002, ""obscene"": 0.8750000000000003, ""threat"": 0.9000000000000004, ""insult"": 0.6500000000000002, ""identity_hate"": 0.4500000000000001}",2.5e-05,3,8,0.01,0.2,256,sqrt
4,3,0.7865964402470033,0.7033589043084206,0.7922453871858881,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.9250000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.9500000000000004, ""insult"": 0.8500000000000003, ""identity_hate"": 0.9500000000000004}",2e-05,3,16,0.01,0.2,128,raw
9,3,0.79133894697881,0.7020763652066874,0.7936867597310329,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.9000000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.6500000000000002, ""insult"": 0.9250000000000004, ""identity_hate"": 0.9500000000000004}",2e-05,3,8,0.01,0.2,256,raw
3,3,0.7926258827845547,0.7007640410380761,0.7964209228744552,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.9000000000000004, ""threat"": 0.9250000000000004, ""insult"": 0.9500000000000004, ""identity_hate"": 0.9500000000000004}",2e-05,3,16,0.01,0.1,128,raw
6,3,0.7864947161024539,0.7001980353418013,0.7909395293482203,"{""toxic"": 0.9000000000000004, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.9000000000000004, ""threat"": 0.9000000000000004, ""insult"": 0.8500000000000003, ""identity_hate"": 0.8000000000000003}",2.5e-05,3,16,0.01,0.2,128,raw
11,3,0.7916432452688776,0.6992871572802731,0.794849610835007,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.8500000000000003, ""obscene"": 0.9500000000000004, ""threat"": 0.9500000000000004, ""insult"": 0.9500000000000004, ""identity_hate"": 0.9500000000000004}",2.5e-05,3,8,0.01,0.2,256,raw
1,2,0.7872627507421067,0.6963763873332476,0.7916877394353016,"{""toxic"": 0.8500000000000003, ""severe_toxic"": 0.9250000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.9250000000000004, ""insult"": 0.9000000000000004, ""identity_hate"": 0.9000000000000004}",1e-05,3,16,0.01,0.1,128,raw
2,3,0.7865831183192038,0.6950135565467354,0.7927696851648699,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.9500000000000004, ""insult"": 0.9250000000000004, ""identity_hate"": 0.9250000000000004}",1e-05,3,16,0.01,0.2,128,raw
