trial,best_epoch,best_val_micro_f1_tuned,best_val_macro_f1_tuned,best_val_weighted_f1_tuned,thresholds,learning_rate,epochs,batch_size,weight_decay,dropout,max_length,pos_weight_mode
33,3,0.7975638578311063,0.7170606917984156,0.8001928084742903,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.6750000000000003, ""obscene"": 0.7000000000000003, ""threat"": 0.9500000000000004, ""insult"": 0.47500000000000014, ""identity_hate"": 0.7250000000000003}",2e-05,3,8,0.01,0.2,256,raw
2,3,0.794447015270708,0.712998009596396,0.7969830156274679,"{""toxic"": 0.8250000000000003, ""severe_toxic"": 0.8000000000000003, ""obscene"": 0.7250000000000003, ""threat"": 0.9000000000000004, ""insult"": 0.8000000000000003, ""identity_hate"": 0.6000000000000002}",1e-05,3,16,0.01,0.1,128,sqrt
16,3,0.7877885331347729,0.7124646090212544,0.7922512731937267,"{""toxic"": 0.8250000000000003, ""severe_toxic"": 0.5000000000000002, ""obscene"": 0.6500000000000002, ""threat"": 0.2750000000000001, ""insult"": 0.6750000000000003, ""identity_hate"": 0.17500000000000004}",2e-05,4,16,0.01,0.2,128,sqrt
6,3,0.7940276360938514,0.7122157792023408,0.7959775747985735,"{""toxic"": 0.8250000000000003, ""severe_toxic"": 0.7750000000000002, ""obscene"": 0.7500000000000002, ""threat"": 0.8000000000000003, ""insult"": 0.7250000000000003, ""identity_hate"": 0.5500000000000003}",1e-05,4,16,0.01,0.1,128,sqrt
15,3,0.7882234247454829,0.711933234641283,0.7943002688196429,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.5000000000000002, ""obscene"": 0.8750000000000003, ""threat"": 0.7500000000000002, ""insult"": 0.8500000000000003, ""identity_hate"": 0.7250000000000003}",2e-05,4,16,0.01,0.2,128,raw
14,3,0.7887245325146526,0.7115688819524184,0.7908005178099118,"{""toxic"": 0.7750000000000002, ""severe_toxic"": 0.6750000000000003, ""obscene"": 0.7500000000000002, ""threat"": 0.10000000000000002, ""insult"": 0.6000000000000002, ""identity_hate"": 0.4250000000000001}",2e-05,4,16,0.01,0.1,128,sqrt
4,3,0.7924986004851652,0.711501147305491,0.7959490334307281,"{""toxic"": 0.8500000000000003, ""severe_toxic"": 0.7500000000000002, ""obscene"": 0.8000000000000003, ""threat"": 0.7750000000000002, ""insult"": 0.7750000000000002, ""identity_hate"": 0.7750000000000002}",1e-05,3,16,0.01,0.2,128,sqrt
8,3,0.7929734203991539,0.7110321654856349,0.7956416792922496,"{""toxic"": 0.8250000000000003, ""severe_toxic"": 0.7000000000000003, ""obscene"": 0.7000000000000003, ""threat"": 0.4250000000000001, ""insult"": 0.7500000000000002, ""identity_hate"": 0.6250000000000002}",1e-05,4,16,0.01,0.2,128,sqrt
10,3,0.7895272458136738,0.7106075790476857,0.793459371723251,"{""toxic"": 0.8000000000000003, ""severe_toxic"": 0.6750000000000003, ""obscene"": 0.7250000000000003, ""threat"": 0.8500000000000003, ""insult"": 0.8000000000000003, ""identity_hate"": 0.6000000000000002}",2e-05,3,16,0.01,0.1,128,sqrt
12,3,0.7943315308595935,0.7097679106522915,0.7955507590327912,"{""toxic"": 0.8250000000000003, ""severe_toxic"": 0.8250000000000003, ""obscene"": 0.6750000000000003, ""threat"": 0.8750000000000003, ""insult"": 0.7250000000000003, ""identity_hate"": 0.7750000000000002}",2e-05,3,16,0.01,0.2,128,sqrt
29,3,0.7873482067212652,0.7092315386702732,0.7904528884873522,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.6250000000000002, ""obscene"": 0.9000000000000004, ""threat"": 0.7500000000000002, ""insult"": 0.9500000000000004, ""identity_hate"": 0.8750000000000003}",3e-05,4,16,0.01,0.1,128,raw
5,4,0.7904700341675132,0.7083800767896152,0.7945209265165712,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.8750000000000003, ""obscene"": 0.9250000000000004, ""threat"": 0.9500000000000004, ""insult"": 0.8500000000000003, ""identity_hate"": 0.9000000000000004}",1e-05,4,16,0.01,0.1,128,raw
7,3,0.7910091743119266,0.707936062799126,0.794098292277625,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.9500000000000004, ""insult"": 0.8250000000000003, ""identity_hate"": 0.7750000000000002}",1e-05,4,16,0.01,0.2,128,raw
24,3,0.7862630750717393,0.7073853723295948,0.7906412055566162,"{""toxic"": 0.8500000000000003, ""severe_toxic"": 0.5000000000000002, ""obscene"": 0.6500000000000002, ""threat"": 0.7250000000000003, ""insult"": 0.5500000000000003, ""identity_hate"": 0.2750000000000001}",2.5e-05,4,16,0.01,0.2,128,sqrt
3,2,0.7910475142175748,0.7070370635693539,0.7941830610153782,"{""toxic"": 0.8250000000000003, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.9250000000000004, ""threat"": 0.9000000000000004, ""insult"": 0.8750000000000003, ""identity_hate"": 0.9250000000000004}",1e-05,3,16,0.01,0.2,128,raw
13,3,0.7858263357017625,0.7067645099929806,0.791448421614241,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.5750000000000002, ""obscene"": 0.8500000000000003, ""threat"": 0.5500000000000003, ""insult"": 0.7750000000000002, ""identity_hate"": 0.7750000000000002}",2e-05,4,16,0.01,0.1,128,raw
23,3,0.7907367634699786,0.7066075896750724,0.7934170670851947,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.8500000000000003, ""obscene"": 0.8000000000000003, ""threat"": 0.12500000000000003, ""insult"": 0.8750000000000003, ""identity_hate"": 0.7250000000000003}",2.5e-05,4,16,0.01,0.2,128,raw
32,3,0.7861851267291802,0.7053292365008997,0.7897369164235124,"{""toxic"": 0.8500000000000003, ""severe_toxic"": 0.4250000000000001, ""obscene"": 0.5250000000000001, ""threat"": 0.3500000000000001, ""insult"": 0.6250000000000002, ""identity_hate"": 0.32500000000000007}",3e-05,4,16,0.01,0.2,128,sqrt
28,3,0.7896108732079687,0.7051225828320961,0.7936113314667979,"{""toxic"": 0.8500000000000003, ""severe_toxic"": 0.7750000000000002, ""obscene"": 0.7250000000000003, ""threat"": 0.9250000000000004, ""insult"": 0.5750000000000002, ""identity_hate"": 0.5000000000000002}",3e-05,3,16,0.01,0.2,128,sqrt
34,3,0.7959049497511036,0.7045715524748335,0.7988011446561932,"{""toxic"": 0.9000000000000004, ""severe_toxic"": 0.3500000000000001, ""obscene"": 0.9250000000000004, ""threat"": 0.07500000000000001, ""insult"": 0.9250000000000004, ""identity_hate"": 0.7000000000000003}",2e-05,4,8,0.01,0.2,256,raw
