label,threshold,f1
toxic,0.05,0.7775297619047619
toxic,0.075,0.793852065321806
toxic,0.1,0.8026650989613953
toxic,0.125,0.8094575799721836
toxic,0.15,0.8129395218002813
toxic,0.175,0.817630408410837
toxic,0.2,0.8193114687309024
toxic,0.225,0.8200614124872058
toxic,0.25,0.8202177933018286
toxic,0.275,0.8208832026413537
toxic,0.3,0.8215320910973085
toxic,0.325,0.8225036329665767
toxic,0.35,0.823309053069719
toxic,0.375,0.8231122236128494
toxic,0.4,0.8236770550094122
toxic,0.425,0.8240217618748692
toxic,0.45,0.8233074827080277
toxic,0.475,0.8232577665827037
toxic,0.5,0.8235294117647058
toxic,0.525,0.8250421585160203
toxic,0.55,0.8253431890179515
toxic,0.575,0.8259674349756819
toxic,0.6,0.8261698073258522
toxic,0.625,0.8259486962052152
toxic,0.65,0.8263269639065818
toxic,0.675,0.8272051009564293
toxic,0.7,0.8272630457933973
toxic,0.725,0.8264674493062967
toxic,0.75,0.826951871657754
toxic,0.775,0.8273350471293917
toxic,0.8,0.8266094420600858
toxic,0.825,0.828208987314556
toxic,0.85,0.8289842570627561
toxic,0.875,0.8283178177094609
toxic,0.9,0.8291621327529923
toxic,0.925,0.8293537787513691
toxic,0.95,0.8284574468085106
severe_toxic,0.05,0.4864864864864865
severe_toxic,0.075,0.5068870523415978
severe_toxic,0.1,0.5022421524663677
severe_toxic,0.125,0.5047318611987381
severe_toxic,0.15,0.5050167224080268
severe_toxic,0.175,0.5078260869565218
severe_toxic,0.2,0.5206463195691203
severe_toxic,0.225,0.5230202578268877
severe_toxic,0.25,0.521415270018622
severe_toxic,0.275,0.5285171102661597
severe_toxic,0.3,0.5230769230769231
severe_toxic,0.325,0.5234375
severe_toxic,0.35,0.5168986083499006
severe_toxic,0.375,0.5090180360721442
severe_toxic,0.4,0.5010183299389002
severe_toxic,0.425,0.5010351966873706
severe_toxic,0.45,0.4978902953586498
severe_toxic,0.475,0.4978540772532189
severe_toxic,0.5,0.5021645021645021
severe_toxic,0.525,0.5021834061135371
severe_toxic,0.55,0.504424778761062
severe_toxic,0.575,0.5055432372505543
severe_toxic,0.6,0.5067264573991032
severe_toxic,0.625,0.5079365079365079
severe_toxic,0.65,0.5
severe_toxic,0.675,0.49884526558891457
severe_toxic,0.7,0.5011600928074246
severe_toxic,0.725,0.4918032786885246
severe_toxic,0.75,0.48931116389548696
severe_toxic,0.775,0.4940047961630695
severe_toxic,0.8,0.49148418491484186
severe_toxic,0.825,0.47783251231527096
severe_toxic,0.85,0.4723618090452261
severe_toxic,0.875,0.4681933842239186
severe_toxic,0.9,0.4587628865979381
severe_toxic,0.925,0.4509283819628647
severe_toxic,0.95,0.43478260869565216
obscene,0.05,0.7297056199821588
obscene,0.075,0.7614533965244866
obscene,0.1,0.7834916475597773
obscene,0.125,0.7924907810928595
obscene,0.15,0.801641586867305
obscene,0.175,0.8101529902642559
obscene,0.2,0.8147887323943662
obscene,0.225,0.8198934280639432
obscene,0.25,0.8229390681003584
obscene,0.275,0.8257877580586744
obscene,0.3,0.8278121587186021
obscene,0.325,0.8307692307692308
obscene,0.35,0.8330261702911905
obscene,0.375,0.8357434186132741
obscene,0.4,0.8376768428890543
obscene,0.425,0.8373831775700935
obscene,0.45,0.8366503942921517
obscene,0.475,0.8375424048247267
obscene,0.5,0.8385140257771039
obscene,0.525,0.8399847966552642
obscene,0.55,0.843069873997709
obscene,0.575,0.8438818565400844
obscene,0.6,0.8447013487475915
obscene,0.625,0.8454404945904173
obscene,0.65,0.8433734939759037
obscene,0.675,0.8421875
obscene,0.7,0.8431372549019608
obscene,0.725,0.843183609141056
obscene,0.75,0.8410622275069362
obscene,0.775,0.8398406374501992
obscene,0.8,0.8379351740696278
obscene,0.825,0.8358809332260659
obscene,0.85,0.8363636363636363
obscene,0.875,0.8339423467316281
obscene,0.9,0.8336738863914998
obscene,0.925,0.8310615448161917
obscene,0.95,0.8235789473684211
threat,0.05,0.5643564356435643
threat,0.075,0.5988700564971752
threat,0.1,0.6190476190476191
threat,0.125,0.6134969325153374
threat,0.15,0.6163522012578616
threat,0.175,0.6153846153846154
threat,0.2,0.6193548387096774
