model,trial,val_micro_f1_tuned,val_macro_f1_tuned,val_weighted_f1_tuned,thresholds,max_features,ngram_range,min_df,max_df,C,class_weight
Linear SVM,20,0.7115154857090341,0.6087775119231845,0.720135924615308,"{""toxic"": 0.09747756258528467, ""severe_toxic"": 0.0, ""obscene"": 0.270708675316496, ""threat"": 0.0, ""insult"": 0.250074019780735, ""identity_hate"": 0.0}",100000,"(1, 2)",2,0.95,0.5,balanced
Linear SVM,14,0.7060208239022182,0.6033545049665134,0.7187265755502055,"{""toxic"": 0.1798901514354755, ""severe_toxic"": 0.0, ""obscene"": 0.36368023327579935, ""threat"": 0.0, ""insult"": 0.3527036117922391, ""identity_hate"": 0.0}",100000,"(1, 1)",2,0.95,0.5,balanced
Linear SVM,2,0.7030741410488246,0.603341564093906,0.7159984677060391,"{""toxic"": 0.19283467268013216, ""severe_toxic"": 0.0, ""obscene"": 0.3698558937683756, ""threat"": 0.0, ""insult"": 0.36702839361040746, ""identity_hate"": 0.0}",50000,"(1, 1)",2,0.95,0.5,balanced
Linear SVM,8,0.7028945931185144,0.6025204969140942,0.7138991667145862,"{""toxic"": 0.15128705781443819, ""severe_toxic"": 0.0, ""obscene"": 0.32139196531468917, ""threat"": 0.0, ""insult"": 0.31524624558898506, ""identity_hate"": 0.0}",50000,"(1, 2)",2,0.95,0.5,balanced
Linear SVM,22,0.7034354688950789,0.6000287619914259,0.7092606974267666,"{""toxic"": 0.04366185072987033, ""severe_toxic"": 0.0, ""obscene"": 0.21334987531665428, ""threat"": 0.0, ""insult"": 0.18020881982182324, ""identity_hate"": 0.0}",100000,"(1, 2)",2,0.95,1.0,balanced
Linear SVM,16,0.6995425434583714,0.5915871952083392,0.709489433910977,"{""toxic"": 0.16646963250378943, ""severe_toxic"": 0.0, ""obscene"": 0.2907809301747134, ""threat"": 0.0, ""insult"": 0.317115298604736, ""identity_hate"": 0.0}",100000,"(1, 1)",2,0.95,1.0,balanced
Linear SVM,10,0.6941327938201214,0.5911212156498468,0.7025880301604326,"{""toxic"": 0.11467523610320074, ""severe_toxic"": 0.0, ""obscene"": 0.28958798827878923, ""threat"": 0.0, ""insult"": 0.2617552799627772, ""identity_hate"": 0.0}",50000,"(1, 2)",2,0.95,1.0,balanced
Linear SVM,4,0.6960972488803583,0.5877948959200235,0.7060806258284511,"{""toxic"": 0.18411701369482603, ""severe_toxic"": 0.0, ""obscene"": 0.3054209075196098, ""threat"": 0.0, ""insult"": 0.3248328356705475, ""identity_hate"": 0.0}",50000,"(1, 1)",2,0.95,1.0,balanced
Linear SVM,24,0.6904003859141341,0.5795116352654576,0.6957492114742632,"{""toxic"": 0.4235189001033066, ""severe_toxic"": 0.0, ""obscene"": 0.0, ""threat"": 0.0, ""insult"": 0.0, ""identity_hate"": 0.0}",100000,"(1, 2)",2,0.95,2.0,balanced
Linear SVM,6,0.6866285305684662,0.5722525762689049,0.6964319284674381,"{""toxic"": 0.16916066556701248, ""severe_toxic"": 0.0, ""obscene"": 0.2254689344373546, ""threat"": 0.0, ""insult"": 0.0, ""identity_hate"": 0.0}",50000,"(1, 1)",2,0.95,2.0,balanced
Linear SVM,18,0.6896489810575456,0.5713813827882445,0.6988688958562684,"{""toxic"": 0.13796295680493365, ""severe_toxic"": 0.0, ""obscene"": 0.21427126090656012, ""threat"": 0.0, ""insult"": 0.0, ""identity_hate"": 0.0}",100000,"(1, 1)",2,0.95,2.0,balanced
Linear SVM,12,0.6775934831681225,0.5647034388920709,0.6865923890771973,"{""toxic"": 0.520217794551801, ""severe_toxic"": 0.0, ""obscene"": 0.2400876123917723, ""threat"": 0.0, ""insult"": 0.21804726768047478, ""identity_hate"": 0.0}",50000,"(1, 2)",2,0.95,2.0,balanced
Linear SVM,15,0.7265457382484884,0.5553183939243613,0.7149167485403358,"{""toxic"": -0.31523094696126613, ""severe_toxic"": 0.0, ""obscene"": -0.23243766639176255, ""threat"": 0.0, ""insult"": -0.2899824512741031, ""identity_hate"": 0.0}",100000,"(1, 1)",2,0.95,1.0,
Linear SVM,3,0.7248610162879158,0.5537361832214525,0.7132141818872758,"{""toxic"": -0.3094781696816778, ""severe_toxic"": 0.0, ""obscene"": -0.23305326925350364, ""threat"": 0.0, ""insult"": -0.29421131053372285, ""identity_hate"": 0.0}",50000,"(1, 1)",2,0.95,1.0,
Linear SVM,23,0.7078617314163352,0.5532381888117207,0.700984268267801,"{""toxic"": 0.0, ""severe_toxic"": 0.0, ""obscene"": -0.19586817534739653, ""threat"": 0.0, ""insult"": -0.2654798778073333, ""identity_hate"": 0.0}",100000,"(1, 2)",2,0.95,2.0,
Linear SVM,21,0.7219949347360218,0.5525422455287253,0.7108920710018227,"{""toxic"": -0.3165592970186743, ""severe_toxic"": 0.0, ""obscene"": -0.22486988269171476, ""threat"": 0.0, ""insult"": -0.281116003844633, ""identity_hate"": 0.0}",100000,"(1, 2)",2,0.95,1.0,
Linear SVM,11,0.7003250711093052,0.5516499700835761,0.6937287512250178,"{""toxic"": 0.0, ""severe_toxic"": 0.0, ""obscene"": -0.20813889428168597, ""threat"": 0.0, ""insult"": -0.2623140044622946, ""identity_hate"": 0.0}",50000,"(1, 2)",2,0.95,2.0,
Linear SVM,17,0.7103758169934641,0.5505379870072366,0.7025639404579109,"{""toxic"": 0.0, ""severe_toxic"": 0.0, ""obscene"": -0.22865698170055615, ""threat"": 0.0, ""insult"": -0.27586141570269507, ""identity_hate"": 0.0}",100000,"(1, 1)",2,0.95,2.0,
Linear SVM,9,0.7172198968168987,0.5481080011470728,0.7066832248667722,"{""toxic"": -0.31409323358096, ""severe_toxic"": 0.0, ""obscene"": -0.23473057704910608, ""threat"": 0.0, ""insult"": -0.2822599424349801, ""identity_hate"": 0.0}",50000,"(1, 2)",2,0.95,1.0,
Linear SVM,5,0.7105531741171668,0.5472123575018727,0.7026992514834167,"{""toxic"": 0.0, ""severe_toxic"": 0.0, ""obscene"": -0.21947446343389349, ""threat"": 0.0, ""insult"": -0.2731134353798538, ""identity_hate"": 0.0}",50000,"(1, 1)",2,0.95,2.0,
Linear SVM,7,0.686409307244844,0.5386191364049816,0.7168682111496691,"{""toxic"": -0.35102723441361583, ""severe_toxic"": -0.9580450001445326, ""obscene"": -0.25295378143739655, ""threat"": 0.0, ""insult"": -0.3190282369454357, ""identity_hate"": 0.0}",50000,"(1, 2)",2,0.95,0.5,
Linear SVM,13,0.7321987480438185,0.5377405976981177,0.7183715014282674,"{""toxic"": -0.3478225377666653, ""severe_toxic"": 0.0, ""obscene"": -0.2465805854857491, ""threat"": 0.0, ""insult"": -0.3138247107903327, ""identity_hate"": 0.0}",100000,"(1, 1)",2,0.95,0.5,
Linear SVM,1,0.7328767123287672,0.537259722265173,0.7188453915050178,"{""toxic"": -0.3429399072517544, ""severe_toxic"": 0.0, ""obscene"": -0.2502098217722156, ""threat"": 0.0, ""insult"": -0.32043936100478304, ""identity_hate"": 0.0}",50000,"(1, 1)",2,0.95,0.5,
Linear SVM,19,0.7293174261685899,0.5334637134532229,0.7153258770287273,"{""toxic"": -0.3576534115400174, ""severe_toxic"": 0.0, ""obscene"": -0.25182161941029013, ""threat"": 0.0, ""insult"": -0.30500308921858776, ""identity_hate"": 0.0}",100000,"(1, 2)",2,0.95,0.5,
