token,shap_value,abs_shap_value,effect,target_label,sample_index
hell,0.23882732280334393,0.23882732280334393,Increases prediction,toxic,10
hole ,0.20766729947253124,0.20766729947253124,Increases prediction,toxic,10
Stupid ,0.1248576510711751,0.1248576510711751,Increases prediction,toxic,10
asshole ,0.12383425482585153,0.12383425482585153,Increases prediction,toxic,10
die ,0.12349318487758865,0.12349318487758865,Increases prediction,toxic,10
shit ,0.12348457744952207,0.12348457744952207,Increases prediction,toxic,10
a ,0.018867375255366723,0.018867375255366723,Increases prediction,toxic,10
in ,0.010718743766928027,0.010718743766928027,Increases prediction,toxic,10
fall ,0.0107129956439975,0.0107129956439975,Increases prediction,toxic,10
go ,0.005425973277750826,0.005425973277750826,Increases prediction,toxic,10
to ,0.00533581752723775,0.00533581752723775,Increases prediction,toxic,10
go ,0.0016604167703917483,0.0016604167703917483,Increases prediction,toxic,10
!,0.0009459069559751595,0.0009459069559751595,Increases prediction,toxic,10
stop ,0.0008706762935212787,0.0008706762935212787,Increases prediction,toxic,10
and ,-0.0002204406037991349,0.0002204406037991349,Decreases prediction,toxic,10
eti,0.00011340404558318873,0.00011340404558318873,Increases prediction,toxic,10
del,8.184338617461939e-05,8.184338617461939e-05,Increases prediction,toxic,10
ng ,4.339466500419398e-05,4.339466500419398e-05,Increases prediction,toxic,10
my ,3.661241862573661e-05,3.661241862573661e-05,Increases prediction,toxic,10
stuff ,3.416117760934867e-05,3.416117760934867e-05,Increases prediction,toxic,10
peace ,3.323917695120649e-05,3.323917695120649e-05,Increases prediction,toxic,10
of ,3.323917695120649e-05,3.323917695120649e-05,Increases prediction,toxic,10
,6.117080879953897e-06,6.117080879953897e-06,Increases prediction,toxic,10
,-1.6880221664905548e-09,1.6880221664905548e-09,Decreases prediction,toxic,10
