token,shap_value,abs_shap_value,effect,target_label,sample_index
die,0.6642447242888352,0.6642447242888352,Increases prediction,threat,238
u ,0.23147985340591504,0.23147985340591504,Increases prediction,threat,238
hope ,0.02090847827145126,0.02090847827145126,Increases prediction,threat,238
I ,0.02090847827145126,0.02090847827145126,Increases prediction,threat,238
racist ,0.019713922467587963,0.019713922467587963,Increases prediction,threat,238
u ,0.008287634010173406,0.008287634010173406,Increases prediction,threat,238
bitch,0.006985329621898018,0.006985329621898018,Increases prediction,threat,238
Fuck ,0.005641479720566167,0.005641479720566167,Increases prediction,threat,238
u ,0.005266627565674753,0.005266627565674753,Increases prediction,threat,238
. ,-0.003713604186032171,0.003713604186032171,Decreases prediction,threat,238
eti,0.002193470531557927,0.002193470531557927,Increases prediction,threat,238
del,0.002193470531557927,0.002193470531557927,Increases prediction,threat,238
n,0.002193470531557927,0.002193470531557927,Increases prediction,threat,238
,0.0020626785186604614,0.0020626785186604614,Increases prediction,threat,238
Demon,0.0020626785186604614,0.0020626785186604614,Increases prediction,threat,238
te ,0.0020626785186604614,0.0020626785186604614,Increases prediction,threat,238
' ,0.001985940400692875,0.001985940400692875,Increases prediction,threat,238
fu,0.0019355819771444008,0.0019355819771444008,Increases prediction,threat,238
cker,0.001915724391787015,0.001915724391787015,Increases prediction,threat,238
tha,0.0018079047860136857,0.0018079047860136857,Increases prediction,threat,238
mu,0.0018079047860136857,0.0018079047860136857,Increases prediction,threat,238
.,-0.0011983021693140472,0.0011983021693140472,Decreases prediction,threat,238
. ,0.00031158252847620006,0.00031158252847620006,Increases prediction,threat,238
stop ,-0.0003007839996809837,0.0003007839996809837,Decreases prediction,threat,238
U ,-0.00024898068503327,0.00024898068503327,Decreases prediction,threat,238
"Morton 

",-0.00024898068503327,0.00024898068503327,Decreases prediction,threat,238
bastard ,-0.0002039356720372,0.0002039356720372,Decreases prediction,threat,238
my ,-0.0001693645013283963,0.0001693645013283963,Decreases prediction,threat,238
white ,-9.722984649000762e-05,9.722984649000762e-05,Decreases prediction,threat,238
u ,-9.722984649000762e-05,9.722984649000762e-05,Decreases prediction,threat,238
trash ,-9.452533834190843e-05,9.452533834190843e-05,Decreases prediction,threat,238
crack,6.990623155291229e-05,6.990623155291229e-05,Increases prediction,threat,238
er ,6.990623155291229e-05,6.990623155291229e-05,Increases prediction,threat,238
shit ,-3.48222049915926e-05,3.48222049915926e-05,Decreases prediction,threat,238
,1.1368683772161603e-11,1.1368683772161603e-11,Increases prediction,threat,238
